"model","rounds","date_of_execution","auc_pr","auc_roc","dice_coeff","acc","sensitivity","specificity"
"Original","10",2023-08-10 23:08:34,0.8892,0.971,0.8032,0.951,0.7855,0.9751
"Original","10",2023-08-03 14:08:48,0.8935,0.973,0.8059,0.9493,0.8263,0.9672
"Original","10",2023-08-03 10:57:02,0.8937,0.9731,0.8075,0.9503,0.8178,0.9697
"GrowingGAN (5R)","5,5,5,5",2023-08-11 11:09:44,0.8774,0.967,0.7897,0.9492,0.7487,0.9784
"GrowingGAN (5R)","5,5,5,5",2023-08-11 08:31:07,0.8276,0.945,0.7404,0.9409,0.6612,0.9817
"GrowingGAN (10,4,4,4R)","10,4,4,4",2023-08-10 20:30:28,0.8609,0.9591,0.776,0.946,0.7343,0.9769
"GrowingGAN (10,4,4,4R)","10,4,4,4",2023-08-10 18:02:15,0.8455,0.9539,0.7651,0.9401,0.7659,0.9655
"GrowingGAN (10,4,4,4R)","10,4,4,4",2023-08-10 15:38:58,0.8748,0.96,0.7912,0.9502,0.7414,0.9806
"GrowingGAN (5R)","5,5,5,5",2023-08-07 10:37:39,0.851,0.954,0.7684,0.9452,0.7136,0.979
"GrowingGAN (10R)","10,10,10,10",2023-08-08 08:58:56,0.8754,0.9664,0.7604,0.9471,0.6584,0.9893
